red_area,blue_area,coloc_area,manders_m1,manders_m2,overlap_coefficient,red_mean_intensity,blue_mean_intensity,coloc_mean_red_intensity,coloc_mean_blue_intensity,image_idx
56884,1907,832,0.014479659073115613,0.48034934497816595,0.014354975068582965,8.308030377610576,0.8405873099108547,8.224759615384615,0.9254807692307693,1
63107,87043,44628,0.7082835718620906,0.5343921275535626,0.4229260249047592,4.0468569255391635,0.9223027698953391,4.053172895939769,0.9613023214125661,2
86367,3620,3613,0.03059268935630979,0.9979430922180322,0.04182971727603214,2.960413120752139,0.8058011049723757,2.1649598671464156,0.8057016329919734,3
67063,2069,0,0.0,0.0,0.0,12.368727912559832,0.7660705654905752,0.0,0.0,4
44340,3697,0,0.0,0.0,0.0,4.795151105096978,0.797403299972951,0.0,0.0,5
38010,175381,7753,0.17402509400532096,0.034845826021559285,0.0377021756679213,14.210181531176007,0.9552802184957322,12.123823036244035,0.7529988391590352,6
40038,18947,318,0.0068180374217732456,0.016770670826833072,0.005420423747592343,6.289824666566761,0.8119491212329129,5.39937106918239,0.8113207547169812,7
10790,5446,3514,0.2865371107468977,0.6816558100441269,0.27621443169313004,3.958294717330862,0.8738523687109805,3.4826408651109846,0.9231644849174729,8
46393,10063,22,0.0004037824594716998,0.0025953802232026994,0.00038983591451961585,3.9503157803979048,0.7657756136341052,3.3636363636363638,0.9090909090909091,9
4014,984,0,0.0,0.0,0.0,18.83432984554061,0.8709349593495935,0.0,0.0,10
96545,222496,95463,0.9851816374409048,0.4519125397902207,0.42697850414620403,7.872007871976798,1.0335286926506544,7.843258644710516,1.0885892963766066,11
8063,4713,0,0.0,0.0,0.0,8.5225102319236,0.7710587736049226,0.0,0.0,12
35693,3491,0,0.0,0.0,0.0,9.069985711484044,0.7290174735032942,0.0,0.0,13
86957,0,0,0.0,0.0,0.0,2.419448693032188,0.0,0.0,0.0,14
19082,0,0,0.0,0.0,0.0,5.456451105754113,0.0,0.0,0.0,15
59400,0,0,0.0,0.0,0.0,4.436683501683501,0.0,0.0,0.0,16
161394,16513,16513,0.10630592935921197,1.0,0.1023148320259737,2.102798121367585,0.7774480712166172,2.1848240779991523,0.7774480712166172,17
20662,1574,49,0.0017371362068817977,0.03537532355478861,0.0022085004732501014,5.655744845610299,0.7363405336721728,4.142857142857143,0.8367346938775511,18
29370,8119,0,0.0,0.0,0.0,6.014300306435138,0.8140165044956276,0.0,0.0,19
39887,46661,20947,0.5010217844443536,0.4835610302351624,0.31930915687260863,3.6804472635194423,0.9569019095175842,3.511290399579892,1.0307442593211438,20
126279,47099,35039,0.23228296706452686,0.7628109717201786,0.2532836004308257,2.757354746236508,0.7988280005944924,2.3082850537971975,0.8190873027198264,21
20610,0,0,0.0,0.0,0.0,8.89771955361475,0.0,0.0,0.0,22
19066,0,0,0.0,0.0,0.0,2.8726004405748453,0.0,0.0,0.0,23
